=============================================================================================================================================
GFS Model 7-day forecast for 44.8831,291.328
---------------------------------------------------------------------------------------------------------------------------------------------
This file generated by Climate Reanalyzer (http://cci-reanalyzer.org),
Climate Change Institute, University of Maine, USA (http://climatechange.umaine.edu)
=============================================================================================================================================
fhour YYYY MM DD HH T2 HI RH PRCP TCLD PWTR PMSL U10 V10 WS10
000 2014 04 16 00 11.65 11.65 11.65 96.10 0.00 0.00 36.80 1001.45 0.03 5.01 5.01
003 2014 04 16 03 12.25 12.25 12.25 97.20 0.00 0.00 34.20 1002.43 2.73 4.19 5.00
006 2014 04 16 06 3.25 3.25 3.25 88.00 0.00 0.00 26.40 1004.14 5.05 -3.49 6.14
009 2014 04 16 09 -1.25 -1.25 -1.25 94.50 5.72 100.00 21.00 1008.13 5.28 -3.36 6.26
012 2014 04 16 12 -3.75 -3.75 -3.75 85.30 4.07 100.00 9.40 1014.98 5.53 -3.34 6.46
015 2014 04 16 15 -3.05 -3.05 -3.05 75.60 0.00 67.00 3.00 1021.00 5.96 -4.40 7.41
018 2014 04 16 18 -0.85 -0.85 -0.85 68.40 0.00 34.00 3.10 1024.42 5.34 -4.16 6.77
021 2014 04 16 21 -1.20 -1.20 -1.20 67.10 0.00 0.00 3.40 1028.65 4.39 -3.90 5.87
024 2014 04 17 00 -5.69 -5.69 -5.69 89.10 0.00 0.00 3.10 1033.77 1.64 -1.44 2.18
027 2014 04 17 03 -7.62 -7.62 -7.62 92.30 0.00 0.00 3.40 1037.60 1.04 -0.84 1.34
030 2014 04 17 06 -7.89 -7.89 -7.89 90.30 0.00 0.00 4.10 1039.34 0.70 -0.71 1.00
033 2014 04 17 09 -7.13 -7.13 -7.13 86.70 0.00 0.00 4.90 1041.13 0.20 -1.27 1.29
036 2014 04 17 12 -2.05 -2.05 -2.05 68.90 0.00 0.00 5.80 1043.20 -0.75 -0.49 0.90
039 2014 04 17 15 3.55 3.55 3.55 57.30 0.00 22.00 6.80 1043.67 -1.49 -0.01 1.49
042 2014 04 17 18 6.85 6.85 6.85 51.30 0.00 29.00 7.90 1042.61 -1.02 0.84 1.32
045 2014 04 17 21 6.35 6.35 6.35 50.70 0.00 30.00 8.40 1040.67 -0.66 0.96 1.16
048 2014 04 18 00 -0.45 -0.45 -0.45 69.70 0.00 37.00 7.10 1040.78 -0.88 1.69 1.91
051 2014 04 18 03 -2.85 -2.85 -2.85 73.90 0.00 63.00 5.50 1040.51 -0.52 1.17 1.28
054 2014 04 18 06 -3.75 -3.75 -3.75 76.20 0.00 54.00 5.60 1038.69 -0.46 0.56 0.72
057 2014 04 18 09 -3.35 -3.35 -3.35 81.50 0.00 30.00 5.60 1036.89 -0.80 0.30 0.85
060 2014 04 18 12 2.25 2.25 2.25 65.70 0.00 28.00 5.60 1036.82 -1.63 1.54 2.24
063 2014 04 18 15 7.35 7.35 7.35 45.70 0.00 40.00 6.00 1034.69 -1.31 2.05 2.43
066 2014 04 18 18 10.05 10.05 10.05 38.00 0.00 40.00 6.30 1031.53 -0.87 2.96 3.09
069 2014 04 18 21 8.45 8.45 8.45 43.70 0.00 43.00 5.80 1028.13 -0.85 3.11 3.22
072 2014 04 19 00 -0.05 -0.05 -0.05 79.90 0.00 49.00 5.50 1027.68 -0.21 2.43 2.44
075 2014 04 19 03 -0.85 -0.85 -0.85 83.70 0.00 96.00 6.40 1025.99 0.37 1.36 1.41
078 2014 04 19 06 -0.85 -0.85 -0.85 81.80 0.00 97.00 7.60 1023.43 0.81 0.23 0.84
081 2014 04 19 09 -0.85 -0.85 -0.85 79.70 0.00 99.00 8.90 1021.14 -0.02 -0.48 0.48
084 2014 04 19 12 3.35 3.35 3.35 60.70 0.00 100.00 8.00 1019.32 -0.92 -0.47 1.03
087 2014 04 19 15 8.25 8.25 8.25 49.70 0.00 100.00 10.60 1017.88 -1.03 -0.12 1.04
090 2014 04 19 18 12.15 12.15 12.15 45.00 0.00 79.00 11.40 1014.74 -0.60 1.05 1.21
093 2014 04 19 21 10.85 10.85 10.85 50.10 0.00 21.00 12.10 1011.99 -1.60 -0.72 1.75
096 2014 04 20 00 3.15 3.15 3.15 84.20 0.00 16.00 11.60 1013.29 -1.45 0.03 1.45
099 2014 04 20 03 3.45 3.45 3.45 82.20 0.00 83.00 11.50 1013.60 -2.05 -1.67 2.64
102 2014 04 20 06 0.95 0.95 0.95 90.90 0.00 88.00 10.20 1013.59 -1.25 -2.75 3.02
105 2014 04 20 09 -0.25 -0.25 -0.25 87.80 0.00 97.00 8.90 1015.49 -0.44 -3.16 3.19
108 2014 04 20 12 3.05 3.05 3.05 65.40 0.00 92.00 9.60 1017.46 -0.33 -4.48 4.49
111 2014 04 20 15 8.75 8.75 8.75 45.90 0.00 53.00 9.60 1017.99 0.40 -5.08 5.10
114 2014 04 20 18 11.75 11.75 11.75 34.00 0.00 28.00 9.20 1017.83 0.71 -4.93 4.98
117 2014 04 20 21 11.35 11.35 11.35 30.10 0.00 1.00 8.50 1019.03 0.17 -4.70 4.70
120 2014 04 21 00 5.35 5.35 5.35 61.60 0.00 7.00 10.30 1022.59 0.17 -3.13 3.13
123 2014 04 21 03 2.45 2.45 2.45 80.90 0.00 2.00 9.80 1024.47 0.49 -2.52 2.57
126 2014 04 21 06 0.25 0.25 0.25 91.00 0.00 2.00 8.30 1024.55 -0.06 -2.07 2.07
129 2014 04 21 09 -1.35 -1.35 -1.35 94.40 0.00 0.00 8.30 1025.57 0.64 -1.24 1.40
132 2014 04 21 12 5.35 5.35 5.35 65.70 0.00 0.00 8.40 1026.71 0.61 -0.65 0.89
